# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		90101		2636		1722
1		65095		5103		1982
2		55327		7446		2019
3		51464		9787		2013
4		48569		12079		2036
5		46580		14391		2043
6		45445		16678		2037
7		44627		18977		2033
8		44225		21259		2041
9		43812		23510		2049
10		43608		25781		2051
11		43479		28033		2048
12		43219		30281		2054
13		42956		32535		2057
14		42703		34766		2052
15		42645		37033		2054
16		42556		39308		2053
17		42506		41541		2055
18		42466		43807		2060
19		42415		46076		2060
20		42330		48337		2059
21		42288		50592		2067
22		42286		52826		2074
23		42271		55081		2072
24		42263		57333		2066
25		42237		59623		2068
26		42219		61886		2066
27		42205		64127		2064
28		42203		66371		2070
29		42149		68621		2065
30		42125		70894		2063
31		42112		73140		2059
32		42096		75317		2067
33		42065		77539		2071
34		42032		79794		2069
35		42005		82056		2069
36		42003		84318		2067
37		41976		86549		2073
38		41970		88785		2072
39		41970		91034		2072
40		41969		93306		2071
41		41968		95573		2066
42		41968		97827		2063
43		41967		100053		2062
44		41965		102296		2061
45		41964		104544		2060
46		41957		106803		2062
47		41956		109036		2060
48		41987		111276		2055
49		41984		113506		2056
50		41982		115726		2059
51		41979		117973		2062
52		41986		120234		2060
53		41986		122474		2059
54		41987		124701		2058
55		41959		126947		2060
56		41960		129206		2059
57		41953		131412		2059
58		41953		133627		2058
59		41952		135885		2057
60		41986		138145		2054
61		41974		140378		2053
62		41974		142621		2057
63		41976		144859		2056
64		41971		147101		2055
65		41974		149346		2056
66		41965		151636		2054
67		41964		153867		2051
68		41963		156104		2051
69		41962		158340		2051
70		41960		160556		2051
71		41962		162786		2052
72		41961		165067		2053
73		41969		167296		2054
74		41967		169540		2055
75		41967		171756		2055
76		41966		174017		2055
77		41966		176241		2059
78		41966		178525		2059
79		41966		180776		2057
80		41966		183055		2056
81		41966		185305		2056
82		41966		187524		2057
83		41966		189742		2057
84		41966		192002		2058
85		41965		194242		2059
86		41965		196506		2057
87		41964		198771		2058
88		41964		201030		2058
89		41964		203315		2060
90		41959		205590		2063
91		41959		207835		2065
92		41960		210108		2066
93		41963		212340		2065
94		41963		214596		2065
95		41963		216832		2063
96		41963		219097		2063
97		41963		221341		2063
98		41963		223569		2062
99		41963		225817		2062
100		41962		228051		2060
101		41962		230284		2060
102		41962		232518		2060
103		41962		234757		2059
104		41962		237020		2059
105		41962		239240		2059
106		41962		241487		2059
107		41962		243701		2060
108		41958		245957		2063
109		41958		248184		2063
110		41957		250406		2064
111		41957		252637		2064
112		41957		254874		2065
113		41957		257113		2067
114		41950		259365		2065
115		41950		261609		2063
116		41950		263858		2063
117		41950		266081		2063
118		41950		268310		2066
119		41950		270532		2062
120		41948		272769		2060
121		41947		275012		2058
122		41947		277238		2058
123		41947		279492		2058
124		41943		281723		2057
125		41943		283972		2057
126		41943		286228		2055
127		41943		288484		2056
128		41943		290728		2058
129		41943		292981		2058
130		41943		295199		2056
131		41943		297471		2056
132		41943		299680		2056
133		41943		301923		2057
134		41943		304174		2057
135		41943		306427		2057
136		41943		308629		2056
137		41943		310847		2056
138		41943		313091		2054
139		41943		315320		2055
140		41943		317561		2055
141		41943		319825		2055
142		41943		322053		2055
143		41943		324285		2055
144		41943		326492		2053
145		41925		328718		2057
146		41925		330950		2056
147		41925		333206		2055
148		41925		335456		2054
149		41925		337690		2055
150		41925		339932		2058
151		41925		342192		2058
152		41925		344422		2060
153		41925		346669		2061
154		41925		348906		2063
155		41925		351114		2063
156		41920		353356		2061
157		41920		355600		2061
158		41920		357850		2062
159		41920		360101		2062
160		41920		362348		2063
161		41920		364599		2063
162		41923		366860		2059
163		41923		369109		2058
164		41923		371373		2059
165		41923		373597		2060
166		41923		375851		2059
167		41923		378098		2061
168		41923		380325		2062
169		41923		382573		2061
170		41923		384835		2061
171		41923		387091		2059
172		41922		389341		2058
173		41922		391568		2057
174		41921		393822		2056
175		41921		396078		2056
176		41921		398323		2056
177		41921		400575		2057
178		41921		402832		2057
179		41921		405059		2057
180		41921		407307		2057
181		41921		409538		2057
182		41921		411839		2058
183		41921		414071		2059
184		41921		416308		2061
185		41921		418572		2061
186		41921		420816		2060
187		41921		423039		2061
188		41921		425285		2061
189		41921		427535		2060
190		41920		429803		2062
191		41920		432080		2063
192		41920		434340		2063
193		41920		436573		2064
194		41919		438783		2064
195		41919		441035		2067
196		41919		443271		2067
197		41919		445456		2064
198		41919		447688		2064
199		41919		449906		2063
200		41918		452153		2063
201		41915		454415		2064
202		41915		456697		2064
203		41915		458921		2065
204		41915		461159		2063
205		41915		463417		2064
206		41915		465661		2065
207		41915		467904		2066
208		41915		470142		2065
209		41917		472393		2065
210		41917		474614		2064
211		41917		476865		2065
212		41916		479129		2065
213		41914		481348		2066
214		41914		483592		2066
215		41914		485853		2066
216		41914		488077		2066
217		41914		490326		2066
218		41914		492571		2066
219		41914		494831		2064
220		41914		497112		2063
221		41914		499344		2062
222		41914		501630		2062
223		41914		503857		2062
224		41914		506094		2062
225		41914		508337		2062
226		41913		510585		2062
227		41913		512861		2063
228		41913		515111		2063
229		41913		517336		2063
230		41912		519552		2062
231		41912		521802		2063
232		41912		524039		2063
233		41912		526289		2063
234		41912		528562		2062
235		41912		530802		2062
236		41912		533045		2062
237		41912		535284		2062
238		41912		537516		2061
239		41912		539701		2061
240		41912		541965		2060
241		41912		544226		2060
242		41912		546499		2062
243		41912		548732		2062
244		41912		550999		2062
245		41912		553252		2063
246		41912		555464		2063
247		41912		557703		2063
248		41912		559934		2063
249		41912		562188		2063
250		41912		564429		2062
251		41912		566694		2062
252		41912		568942		2063
253		41912		571203		2062
254		41912		573419		2063
255		41912		575631		2066
256		41912		577892		2066
257		41912		580098		2066
258		41912		582324		2066
259		41912		584581		2065
260		41912		586836		2064
261		41912		589095		2064
262		41912		591373		2064
263		41912		593606		2064
264		41912		595829		2065
265		41912		598055		2065
266		41912		600287		2065
